depmap_id	cell_line_display_name	lineage_1	lineage_2	lineage_3	lineage_6	lineage_4
ACH-000028	KPL1	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ER+	
ACH-001109	KPMRTRY	Kidney	Rhabdoid Cancer	Rhabdoid Cancer		
ACH-000345	KPNRTBM1	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-000446	KPNSI9S	Peripheral Nervous System	Neuroblastoma	Neuroblastoma		
ACH-000702	L1236	Lymphoid	Hodgkin Lymphoma	Hodgkin Lymphoma		
ACH-000685	L33	Pancreas	Adenosquamous Carcinoma of the Pancreas	Adenosquamous Carcinoma of the Pancreas		
ACH-000754	L428	Lymphoid	Hodgkin Lymphoma	Hodgkin Lymphoma		
ACH-000806	L540	Lymphoid	Hodgkin Lymphoma	Hodgkin Lymphoma		
ACH-001111	L82	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Positive		
ACH-001354	LAN2	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-000596	LCLC97TM1	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma		
ACH-000328	LN215	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000591	LN235	CNS/Brain	Diffuse Glioma	Astrocytoma		
ACH-000128	LN319	CNS/Brain	Diffuse Glioma	Astrocytoma		
ACH-000634	LN340	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000215	LN382	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000455	LN428	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000673	LN443	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000676	LN464	Skin	Melanoma	Melanoma		
ACH-000760	LNZ308	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000750	LOXIMVI	Skin	Melanoma	Melanoma		
ACH-000204	LP1	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-001807	LPS067	Soft Tissue	Liposarcoma	Dedifferentiated Liposarcoma		
ACH-001799	LPS141	Soft Tissue	Liposarcoma	Dedifferentiated Liposarcoma		
ACH-001793	LPS27	Soft Tissue	Liposarcoma	Liposarcoma		
ACH-001804	LPS510	Soft Tissue	Liposarcoma	Dedifferentiated Liposarcoma		
ACH-001791	LPS6	Soft Tissue	Liposarcoma	Liposarcoma		
ACH-001802	LPS853	Soft Tissue	Liposarcoma	Dedifferentiated Liposarcoma		
ACH-000438	LU65	Lung	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung		
ACH-002510	M040416	Skin	Melanoma	Acral Melanoma		
ACH-000602	M07E	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	CBFA2T3::GLIS2 and TP53	
ACH-002511	M104325	Skin	Melanoma	Melanoma		
ACH-001119	MAC2A	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Negative		
ACH-001953	MAMEL27	Skin	Melanoma	Melanoma		
ACH-001949	MAMEL46	Skin	Melanoma	Melanoma		
ACH-002672	MAPACHS77	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-002485	MAVER1	Lymphoid	Mature B-Cell Neoplasms	Mantle Cell Lymphoma		
ACH-000044	MDAMB134VI	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	luminal ER+	
ACH-000621	MDAMB157	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal B TNBC	
ACH-000759	MDAMB175VII	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	ER+, PR+, HER2+	
ACH-000768	MDAMB231	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	Basal B TNBC	
ACH-000934	MDAMB361	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	luminal ER+, HER2+	
ACH-000876	MDAMB415	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	luminal ER+, HER2+	
ACH-000573	MDAMB436	Breast	Invasive Breast Carcinoma	Breast Invasive Carcinoma, NOS	Basal B TNBC	
ACH-000910	MDAMB453	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	HER2+	
ACH-000849	MDAMB468	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	Basal A TNBC	
ACH-000439	ME1	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	CBFB::MYH11, NRAS, GATA2 and SF3B1	
ACH-000405	MEC1	Lymphoid	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma		
ACH-001554	MEL202	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-002014	MEL270	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-002015	MEL285	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-002016	MEL290	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-001555	MERO14	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type		
ACH-001556	MERO25	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type		
ACH-001557	MERO41	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type		
ACH-001558	MERO48A	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type		
ACH-001559	MERO82	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type		
ACH-001560	MERO83	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type		
ACH-001561	MERO84	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type		
ACH-001562	MERO95	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type		
ACH-002486	MESOV	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer		
ACH-001819	MFM223	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	luminal ER, PR+	
ACH-001997	MGHAOVC1	Ampulla of Vater	Ampullary Carcinoma	Ampullary Carcinoma		
ACH-001841	MGHECC3	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Extrahepatic Cholangiocarcinoma		
ACH-001843	MGHECC4	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Extrahepatic Cholangiocarcinoma		
ACH-001961	MGHGB2	Biliary Tract	Intracholecystic Papillary Neoplasm	Gallbladder Cancer		
ACH-001834	MGHICC10	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001835	MGHICC106	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001836	MGHICC108	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001838	MGHICC12	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001839	MGHICC137	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001994	MGHICC16	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001996	MGHICC18	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001842	MGHICC2	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001844	MGHICC4	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001845	MGHICC5	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001846	MGHICC6	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001847	MGHICC7	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001848	MGHICC8	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001849	MGHICC9	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-000020	MHHCALL2	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia	Near haploid	
ACH-000220	MINO	Lymphoid	Mature B-Cell Neoplasms	Mantle Cell Lymphoma		
ACH-000058	ML1	Thyroid	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer		
ACH-002928	MM100511	Skin	Melanoma	Acral Melanoma		
ACH-002512	MM160113	Skin	Melanoma	Acral Melanoma		
ACH-000763	MM1S	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-002716	MO91	Myeloid	Acute Myeloid Leukemia	AML with Minimal Differentiation		
ACH-001573	MOLM1	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+		
ACH-000321	MOLM6	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	BCR::ABL1	
ACH-000745	MOLP8	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-001128	MON	Soft Tissue	Rhabdoid Cancer	Extrarenal Rhabdoid Cancer		
ACH-000851	MORCPR	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-002010	MP41	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-002011	MP46	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-002710	MPNST724	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor		
ACH-001132	MTA	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL)		
ACH-001577	MUTZ8	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-001134	MYLA	Lymphoid	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma		
ACH-000462	NALM1	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	BCR::ABL1	
ACH-001993	NALM16	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia	Near haploid, TP53	
ACH-000130	NALM19	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia		
ACH-001303	NB1643	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-002792	NCCCCS1BC1	Soft Tissue	Clear Cell Sarcoma	Clear Cell Sarcoma		
ACH-002795	NCCCDS1X1C1	Soft Tissue	CIC-DUX4 Sarcoma	CIC-DUX4 Sarcoma	CIC::DUX4	
ACH-002796	NCCCDS1X3C1	Soft Tissue	CIC-DUX4 Sarcoma	CIC-DUX4 Sarcoma	CIC::DUX4	
ACH-002781	NCCDCS1C1	Bone	Chondrosarcoma	Dedifferentiated Chondrosarcoma		
ACH-002798	NCCDFSP2C1	Skin	Dermatofibrosarcoma Protuberans	Dermatofibrosarcoma Protuberans		
ACH-002780	NCCES1C1	Bone	Ewing Sarcoma	Ewing Sarcoma		
ACH-002785	NCCLMS1C1	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-002794	NCCMFS1C1	Soft Tissue	Myxofibrosarcoma	Myxofibrosarcoma		
ACH-002799	NCCMPNST1C1	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor		
ACH-002800	NCCMPNST2C1	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor		
ACH-002801	NCCMPNST3C1	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor		
ACH-002802	NCCMPNST3X2C1	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor		
ACH-002778	NCCOS1X2C1	Bone	Osteosarcoma	Osteosarcoma		
ACH-002787	NCCPRMS1C1	Soft Tissue	Rhabdomyosarcoma	Pleomorphic Rhabdomyosarcoma		
ACH-002789	NCCSS1C1	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma		
ACH-002790	NCCSS2C1	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma		
ACH-002782	NCCUPS1C1	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma		
ACH-002784	NCCUPS2C1	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma		
ACH-000523	NCIH1184	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000830	NCIH1436	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-003119	NCIH1450	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000921	NCIH157DM	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-003120	NCIH1607	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-002170	NCIH1688	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000282	NCIH1755	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000033	NCIH1819	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000533	NCIH2004RT	Kidney	Rhabdoid Cancer	Rhabdoid Cancer		
ACH-000298	NCIH2029	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000451	NCIH2085	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000290	NCIH209	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000904	NCIH2106	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma		
ACH-000610	NCIH2227	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-003121	NCIH2679	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000700	NCIH2882	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-000251	NCIH2887	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer		
ACH-000337	NCIH3122	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000109	NCIH3255	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000871	NCIH510	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000767	NCIH526	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000177	NCIH660	Prostate	Prostate Small Cell Carcinoma	Prostate Small Cell Carcinoma		
ACH-000491	NCIH716	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-000710	NCIH854	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-002497	NCIH920	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000203	NH6	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-001142	NHAHTDD	CNS/Brain	Non-Cancerous	Immortalized Epithelial Cells, CNS		
ACH-002290	NKM1	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-001367	NMB	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-003176	NRHGCT1	Bone	Osteosarcoma	Osteosarcoma		
ACH-003191	NRHGCT2	Bone	Giant Cell Tumor of Bone	Giant Cell Tumor of Bone		
ACH-003181	NRHLMS1	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-003184	NRHLMS2	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-003183	NRHMFS3	Soft Tissue	Myxofibrosarcoma	Myxofibrosarcoma		
ACH-003177	NRHUPS1	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma		
ACH-003180	NRHUPS2	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma		
ACH-003187	NRHUPS4	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma		
ACH-000761	NUGC2	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		
ACH-001978	NZM1	Skin	Melanoma	Melanoma		
ACH-001979	NZM11	Skin	Melanoma	Melanoma		
ACH-001980	NZM12	Skin	Melanoma	Melanoma		
ACH-001981	NZM2	Skin	Melanoma	Melanoma		
ACH-001982	NZM3	Skin	Melanoma	Melanoma		
ACH-001983	NZM30	Skin	Melanoma	Melanoma		
ACH-001984	NZM4	Skin	Melanoma	Melanoma		
ACH-001985	NZM40	Skin	Melanoma	Melanoma		
ACH-001986	NZM42	Skin	Melanoma	Melanoma		
ACH-001987	NZM43	Skin	Melanoma	Melanoma		
ACH-001988	NZM5	Skin	Melanoma	Melanoma		
ACH-001989	NZM6	Skin	Melanoma	Melanoma		
ACH-001990	NZM7	Skin	Melanoma	Melanoma		
ACH-001991	NZOV9	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Endometrioid Ovarian Cancer		
ACH-002703	OANC1	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma		
ACH-000116	OAW28	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-001613	OCIAML4	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-001147	OCILY12	Lymphoid	Mature T and NK Neoplasms	Follicular T-Cell Lymphoma		
ACH-001148	OCILY132	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS		
ACH-000158	OCILY3	Lymphoid	Mature B-Cell Neoplasms	Activated B-cell Type		
ACH-001617	OCILY7	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS		
ACH-001618	OCIM2	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-000854	OCIMY5	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000436	OCIMY7	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000247	OCUM1	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma		
ACH-000679	OE19	Esophagus/Stomach	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma		
ACH-000544	OE21	Esophagus/Stomach	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma		
ACH-000494	OELE	Ovary/Fallopian Tube	Non-Cancerous	Immortalized Ovarian Cells		
ACH-002017	OMM1	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-002018	OMM25	Eye	Ocular Melanoma	Uveal Melanoma		
ACH-000057	OPM1	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000024	OPM2	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-002471	OS052	Bone	Osteosarcoma	Osteosarcoma		
ACH-002470	OS186	Bone	Osteosarcoma	Osteosarcoma		
ACH-001814	OS252	Bone	Osteosarcoma	Osteosarcoma		
ACH-002834	OS384	Bone	Osteosarcoma	Osteosarcoma		
ACH-002688	OS457	Bone	Osteosarcoma	Osteosarcoma		
ACH-002689	OS525	Bone	Osteosarcoma	Osteosarcoma		
ACH-002690	OS526	Bone	Osteosarcoma	Osteosarcoma		
ACH-002722	OSUDES23	Soft Tissue	Desmoid/Aggressive Fibromatosis	Desmoid/Aggressive Fibromatosis	CTNNB1 S45F	
ACH-000617	OVCAR4	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-001151	OVCAR5	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-000696	OVCAR8	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-000646	OVMANA	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Clear Cell Ovarian Cancer		
ACH-000409	OVSAHO	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-001855	OZ	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-000770	P31FUJ	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-001627	P4E6	Prostate	Non-Cancerous	Immortalized Epithelial Cells, Prostate		
ACH-001376	PACADD135	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-001378	PACADD159	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-001380	PACADD165	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-001382	PACADD188	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-000779	PC9	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000606	PECAPJ34CLONEC12	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma		
ACH-000519	PEER	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	T-Cell Acute Lymphoblastic Leukemia	NKX2-5, NUP214::ABL1;BCL11B::NKX2::5	
ACH-001630	PEO1	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer		
ACH-001632	PEO4	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer		
ACH-001634	PGA1	Lymphoid	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma		
ACH-000034	PLB985	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-000170	PRECLH	Prostate	Non-Cancerous	Immortalized Epithelial Cells, Prostate		
ACH-000654	RAJI	Lymphoid	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	MYC::IGH	
ACH-001743	RC2	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma	PAX3::FKHR	
ACH-001760	RDP3F14	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-001758	RDP3F7	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-001759	RDP3F9	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-001756	RDPCDNA1	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-000068	REC1	Lymphoid	Mature B-Cell Neoplasms	Mantle Cell Lymphoma		
ACH-000960	REH	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia	ETV6::RUNX1	
ACH-000442	RERFLCSQ1	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-000689	RH18	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-001740	RH28	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-001751	RH36	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-001765	RH4	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-001745	RHJT	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-002501	RMZ	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-002466	RPE1SS111	Eye	Non-Cancerous	Immortalized Epithelial Cells, Retinal		
ACH-002465	RPE1SS119	Eye	Non-Cancerous	Immortalized Epithelial Cells, Retinal		
ACH-002462	RPE1SS48	Eye	Non-Cancerous	Immortalized Epithelial Cells, Retinal		
ACH-002467	RPE1SS51	Eye	Non-Cancerous	Immortalized Epithelial Cells, Retinal		
ACH-002464	RPE1SS6	Eye	Non-Cancerous	Immortalized Epithelial Cells, Retinal		
ACH-002463	RPE1SS77	Eye	Non-Cancerous	Immortalized Epithelial Cells, Retinal		
ACH-000817	RPMI8226	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000874	RS411	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia	KMT2A::AFF1	
ACH-000531	RS5	Fibroblast	Non-Cancerous	Fibroblast, Lung		
ACH-001183	RT11284	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma		
ACH-002461	RVH421SKINFV1	Skin	Melanoma	Melanoma		
ACH-002693	S462	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor	NF1 Mutant	
ACH-000064	SALE	Lung	Non-Cancerous	Immortalized Lung Cells		
ACH-000254	SCC15	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma		
ACH-000238	SCC4	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma		
ACH-001279	SCCOHT1	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Small Cell Carcinoma of the Ovary		
ACH-001386	SCLC22H	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-001184	SCMCRM2	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma	PAX3::FKHR	
ACH-001280	SCS214	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma		
ACH-001735	SEMK2	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia	KMT2A::AFF1	
ACH-000195	SET2	Myeloid	Acute Myeloid Leukemia	AML, NOS	DNMT3A, JAK2 and TP53	
ACH-000887	SF172	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-000655	SF268	CNS/Brain	Diffuse Glioma	Astrocytoma		
ACH-000273	SF539	CNS/Brain	Diffuse Glioma	Gliosarcoma		
ACH-000490	SF767	Cervix	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma		
ACH-001857	SG231	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-002675	SH2	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-001647	SHI1	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	KMT2A::AFDN, PTPN11, KRAS	
ACH-001648	SHMAC4	Prostate	Non-Cancerous	Immortalized Epithelial Cells, Prostate		
ACH-000112	SIGM5	Myeloid	Acute Myeloid Leukemia	Acute Monoblastic/Monocytic Leukemia		
ACH-000017	SKBR3	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	HER2+	
ACH-000465	SKMEL1	Skin	Melanoma	Melanoma		
ACH-002005	SKMEL19	Skin	Melanoma	Cutaneous Melanoma		
ACH-001192	SKNEP1	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
