header	cancer	clcell	cell	isctrl	Datasource
TALL_CUTLL1_Control_24hr_replicate_2	TALL	CUTLL1_Control_24hr_replicate_2	CUTLL1_Control_24hr_replicate_2	0	GEO
TALL_CUTLL1_Control_24hr_replicate_3	TALL	CUTLL1_Control_24hr_replicate_3	CUTLL1_Control_24hr_replicate_3	0	GEO
TALL_CUTLL1_Control_replicate_1	TALL	CUTLL1_Control_replicate_1	CUTLL1_Control_replicate_1	0	GEO
TALL_CUTLL1_Control_replicate_2	TALL	CUTLL1_Control_replicate_2	CUTLL1_Control_replicate_2	0	GEO
TALL_CUTLL1_Control_replicate_3	TALL	CUTLL1_Control_replicate_3	CUTLL1_Control_replicate_3	0	GEO
TALL_DND41_DMSO_48hr_replicate_1	TALL	DND41_DMSO_48hr_replicate_1	DND41_DMSO_48hr_replicate_1	0	GEO
TALL_DND41_DMSO_48hr_replicate_2	TALL	DND41_DMSO_48hr_replicate_2	DND41_DMSO_48hr_replicate_2	0	GEO
TALL_DND41_DMSO_48hr_replicate_3	TALL	DND41_DMSO_48hr_replicate_3	DND41_DMSO_48hr_replicate_3	0	GEO
TALL_DND41_DMSO_72hr_replicate_1	TALL	DND41_DMSO_72hr_replicate_1	DND41_DMSO_72hr_replicate_1	0	GEO
TALL_DND41_DMSO_72hr_replicate_2	TALL	DND41_DMSO_72hr_replicate_2	DND41_DMSO_72hr_replicate_2	0	GEO
TALL_DND41_DMSO_72hr_replicate_3	TALL	DND41_DMSO_72hr_replicate_3	DND41_DMSO_72hr_replicate_3	0	GEO
UCEC_MYO-PT354	UCEC	MYO-PT354	MYO-PT354	1	GEO
UCEC_MYO-PT563	UCEC	MYO-PT563	MYO-PT563	1	GEO
UCEC_MYO_PT728	UCEC	MYO_PT728	MYO_PT728	1	GEO
UCEC_MYO_PT758	UCEC	MYO_PT758	MYO_PT758	1	GEO
UCEC_MYO-PT845	UCEC	MYO-PT845	MYO-PT845	1	GEO
UCEC_MYO-PT848	UCEC	MYO-PT848	MYO-PT848	1	GEO
UCEC_MYO-PT886	UCEC	MYO-PT886	MYO-PT886	1	GEO
UCEC_MYO-PT916	UCEC	MYO-PT916	MYO-PT916	1	GEO
UCEC_MYO-PT967	UCEC	MYO-PT967	MYO-PT967	1	GEO
UCEC_MYO-PT1063	UCEC	MYO-PT1063	MYO-PT1063	1	GEO
UCEC_MYO-PT1113	UCEC	MYO-PT1113	MYO-PT1113	1	GEO
UCEC_MYO-PT1119	UCEC	MYO-PT1119	MYO-PT1119	1	GEO
UCEC_MYO-PT1123	UCEC	MYO-PT1123	MYO-PT1123	1	GEO
UCEC_MYO-PT1151	UCEC	MYO-PT1151	MYO-PT1151	1	GEO
UCEC_MYO-PTc57	UCEC	MYO-PTc57	MYO-PTc57	1	GEO
UCEC_LEIO-PT354	UCEC	LEIO-PT354	LEIO-PT354	0	GEO
UCEC_LEIO-PT563	UCEC	LEIO-PT563	LEIO-PT563	0	GEO
UCEC_LEIO_PT728	UCEC	LEIO_PT728	LEIO_PT728	0	GEO
UCEC_LEIO_PT758	UCEC	LEIO_PT758	LEIO_PT758	0	GEO
UCEC_LEIO-PT845	UCEC	LEIO-PT845	LEIO-PT845	0	GEO
UCEC_LEIO-PT848	UCEC	LEIO-PT848	LEIO-PT848	0	GEO
UCEC_LEIO-PT886	UCEC	LEIO-PT886	LEIO-PT886	0	GEO
UCEC_LEIO-PT916	UCEC	LEIO-PT916	LEIO-PT916	0	GEO
UCEC_LEIO-PT967	UCEC	LEIO-PT967	LEIO-PT967	0	GEO
UCEC_LEIO-PT1063	UCEC	LEIO-PT1063	LEIO-PT1063	0	GEO
UCEC_LEIO-PT1113	UCEC	LEIO-PT1113	LEIO-PT1113	0	GEO
UCEC_LEIO-PT1119	UCEC	LEIO-PT1119	LEIO-PT1119	0	GEO
UCEC_LEIO-PT1123	UCEC	LEIO-PT1123	LEIO-PT1123	0	GEO
UCEC_LEIO-PT1151	UCEC	LEIO-PT1151	LEIO-PT1151	0	GEO
UCEC_LEIO-PTc57	UCEC	LEIO-PTc57	LEIO-PTc57	0	GEO
DAOY_rep1	DAOY	rep1	rep1	0	GEO
DAOY_rep2	DAOY	rep2	rep2	0	GEO
